Strategy,Return,Risk
Long-Only,0.5986651715403022,0.5127590249275571
Long-Only,0.1906141103377401,0.2259438120160213
Long-Only,0.1475054012676689,0.23993595599413492
Long-Only,0.5618767024060392,0.4770564863799855
Long-Only,0.24521677163309719,0.22394207328688862
Long-Only,0.3114836265938737,0.2717364143347666
Long-Only,0.2856098346568039,0.2777701391016983
Long-Only,0.36036182174545994,0.29649737851288216
Long-Only,0.326655316799474,0.2662224885930571
Long-Only,0.3620174087593315,0.334077000311591
Long-Only,0.26780125923477555,0.2654661604081693
Long-Only,0.5322255804851834,0.45859494824189523
Long-Only,0.39468256561340087,0.31553341031051907
Long-Only,0.1784437857487688,0.2303619677093297
Long-Only,0.18487953407994448,0.2106107663767679
Long-Only,0.24305911288625168,0.22330273232060097
Long-Only,0.3014230123343086,0.2789778673400834
Long-Only,0.619786907389801,0.529290592392775
Long-Only,0.5635498205696634,0.4689667241630535
Long-Only,0.3556244216651151,0.30136138983328226
Long-Only,0.24972455513769892,0.22519133219677806
Long-Only,0.17473902857943252,0.2186366707672913
Long-Only,0.13171662651856192,0.24392605718770918
Long-Only,0.2621044380327731,0.23941632698882082
Long-Only,0.2162679947803505,0.26587737277892715
Long-Only,0.4816902526779025,0.4138076360692918
Long-Only,0.5364804404123277,0.46582240452353
Long-Only,0.3746641412794693,0.30984649242249795
Long-Only,0.24973986917782787,0.22760744458570778
Long-Only,0.15523380316266003,0.21543255908575865
Long-Only,0.7238934661670933,0.6342525544006077
Long-Only,0.3641177841381319,0.29113515151511593
Long-Only,0.24891179717800854,0.22582439197290302
Long-Only,0.6000581698120138,0.5208870531714699
Long-Only,0.5000489487930279,0.42464013065640654
Long-Only,0.11753754331767621,0.24861171489689485
Long-Only,0.5143767231969616,0.44194845092467633
Long-Only,0.36516266286528576,0.29614327624043457
Long-Only,0.4660497287467319,0.3741312571973574
Long-Only,0.3683127135531039,0.3151773911786907
Long-Only,0.5022097063508764,0.41289199956207345
Long-Only,0.2585544081677431,0.24491085470405186
Long-Only,0.587173208666076,0.5131882290145341
Long-Only,0.5905055890578088,0.49658434665206863
Long-Only,0.3822789600806529,0.30617215176649165
Long-Only,0.15572610768605055,0.21374283577120215
Long-Only,0.18847834587064557,0.2224670749089163
Long-Only,0.46096791785222807,0.3894637340592723
Long-Only,0.3880884229985466,0.308888890038544
Long-Only,0.3215521170013694,0.3153143542521943
Long-Only,0.29803059933800136,0.2718024480911238
Long-Only,0.23845868072360762,0.2546020321603492
Long-Only,0.495674682601136,0.4257265322665081
Long-Only,0.18718302172248358,0.21071085100341644
Long-Only,0.2752156686351607,0.25888982584448705
Long-Only,0.1448327640672729,0.2304788367271394
Long-Only,0.3385579727248713,0.28300768447201946
Long-Only,0.3013821417226952,0.2938757913809803
Long-Only,0.37710939439315194,0.34948358710991173
Long-Only,0.29608637224472545,0.24755668037408982
Long-Only,0.7027764705956271,0.6103002676822831
Long-Only,0.20006468468309604,0.23888163833219891
Long-Only,0.14851160847436076,0.2361022003577761
Long-Only,0.5005876292381863,0.4097884949829904
Long-Only,0.4618332562002491,0.38492559499677803
Long-Only,0.18975109974037851,0.21364365947996397
Long-Only,0.598521867164246,0.5246302370918049
Long-Only,0.23639980916583814,0.2535875159937459
Long-Only,0.1791278230222787,0.23286126785946007
Long-Only,0.3461207581117745,0.28536693062839313
Long-Only,0.31948570030599566,0.26078559628393255
Long-Only,0.3437931545951617,0.3152382417524652
Long-Only,0.3662763858366246,0.293421398172734
Long-Only,0.36141800708223704,0.3031940347101449
Long-Only,0.48423989959029345,0.41831448380021174
Long-Only,0.37913689830504677,0.3467491936674236
Long-Only,0.21335859072808197,0.21364825932244164
Long-Only,0.7677302026721212,0.6816860383654708
Long-Only,0.3729052603091447,0.29821883244568387
