Date,BAH,NOC,PLTR
2020-01-02,65.51140594482422,324.72412109375,
2020-01-03,66.21299743652344,342.3525085449219,
2020-01-06,67.27906036376953,343.10101318359375,
2020-01-07,66.8872299194336,342.3159484863281,
2020-01-08,67.47948455810547,338.04351806640625,
2020-01-09,69.35645294189453,339.9332275390625,
2020-01-10,69.84846496582031,341.7865295410156,
2020-01-13,71.44300079345703,344.0139465332031,
2020-01-14,71.49765014648438,342.04217529296875,
2020-01-15,72.34500885009766,347.1452941894531,
2020-01-16,71.97142028808594,350.35870361328125,
2020-01-17,72.34500885009766,346.8805236816406,
2020-01-21,71.65253448486328,345.2007751464844,
2020-01-22,70.84160614013672,342.6354675292969,
2020-01-23,71.41566467285156,348.2772521972656,
2020-01-24,71.03296661376953,348.40509033203125,
2020-01-27,70.6776123046875,346.0588684082031,
2020-01-28,71.57054901123047,348.5876770019531,
2020-01-29,71.27898406982422,349.3270568847656,
2020-01-30,71.75277709960938,351.3537902832031,
2020-01-31,71.10586547851562,341.95086669921875,
2020-02-03,71.57054901123047,332.0729675292969,
2020-02-04,71.47943115234375,330.30194091796875,
2020-02-05,71.22428131103516,335.770263671875,
2020-02-06,71.39742279052734,332.0729675292969,
2020-02-07,70.55003356933594,329.9459228515625,
2020-02-10,70.6047134399414,331.653076171875,
2020-02-11,70.41339874267578,335.9894714355469,
2020-02-12,69.31088256835938,335.7063903808594,
2020-02-13,69.73173522949219,335.952880859375,
2020-02-14,70.1251220703125,338.6369323730469,
2020-02-18,70.78385162353516,339.98797607421875,
2020-02-19,70.02448272705078,334.2640686035156,
2020-02-20,68.14900970458984,331.61651611328125,
2020-02-21,66.91390991210938,334.4386291503906,
2020-02-24,66.02650451660156,329.2892761230469,
2020-02-25,64.4712142944336,311.495849609375,
2020-02-26,65.78861999511719,306.3191223144531,
2020-02-27,65.57819366455078,303.7994079589844,
2020-02-28,65.23056030273438,301.2979736328125,
2020-03-02,67.74647521972656,307.84918212890625,
2020-03-03,68.26795196533203,301.7928466796875,
2020-03-04,70.4727783203125,317.9095153808594,
2020-03-05,69.06388092041016,300.3268737792969,
2020-03-06,69.7957763671875,301.407958984375,
2020-03-09,66.35584259033203,287.0412902832031,
2020-03-10,68.2953872680664,306.8412780761719,
2020-03-11,67.55435180664062,291.228515625,
2020-03-12,60.738525390625,266.16912841796875,
2020-03-13,64.03208923339844,288.1590576171875,
2020-03-16,58.405582427978516,258.9216003417969,
2020-03-17,60.363426208496094,292.5844421386719,
2020-03-18,63.71186828613281,295.94720458984375,
2020-03-19,58.6708984375,272.0423889160156,
2020-03-20,53.01698303222656,260.23193359375,
2020-03-23,52.49550247192383,247.25787353515625,
2020-03-24,57.83836364746094,257.7213439941406,
2020-03-25,59.58577346801758,264.2084655761719,
2020-03-26,62.5865592956543,294.2887878417969,
2020-03-27,62.51337814331055,286.00592041015625,
2020-03-30,65.21224975585938,287.4443664550781,
2020-03-31,62.796974182128906,277.2099304199219,
2020-04-01,63.67525100708008,281.2780456542969,
2020-04-02,64.48036193847656,287.9666748046875,
2020-04-03,64.09608459472656,287.34356689453125,
2020-04-06,67.64581298828125,304.4957275390625,
2020-04-07,65.30374145507812,298.2560729980469,
2020-04-08,65.75203704833984,302.05859375,
2020-04-09,67.92943572998047,308.4538879394531,
2020-04-13,65.94416809082031,310.4696350097656,
2020-04-14,69.40238189697266,319.5771789550781,
2020-04-15,68.44175720214844,315.45404052734375,
2020-04-16,69.26513671875,317.24072265625,
2020-04-17,70.6832046508789,326.4580383300781,
2020-04-20,69.42982482910156,315.1058044433594,
2020-04-21,67.23411560058594,305.73260498046875,
2020-04-22,68.2862319946289,313.3648986816406,
2020-04-23,69.00897979736328,307.7026062011719,
2020-04-24,69.40238189697266,310.8911437988281,
2020-04-27,70.53682708740234,315.930419921875,
2020-04-28,69.68599700927734,315.6738586425781,
2020-04-29,68.50579833984375,304.03753662109375,
2020-04-30,67.18838500976562,302.9747619628906,
2020-05-01,66.28265380859375,300.5833435058594,
2020-05-04,66.57542419433594,295.5439758300781,
2020-05-05,67.45369720458984,301.20635986328125,
2020-05-06,67.46284484863281,295.9746398925781,
2020-05-07,67.56348419189453,296.99163818359375,
2020-05-08,66.76754760742188,300.207763671875,
2020-05-11,66.45646667480469,300.04278564453125,
2020-05-12,65.15736389160156,298.2469482421875,
2020-05-13,64.40717315673828,293.619873046875,
2020-05-14,63.9680290222168,285.8043212890625,
2020-05-15,64.75480651855469,294.69189453125,
2020-05-18,64.63587951660156,303.43292236328125,
2020-05-19,66.00819396972656,299.6396789550781,
2020-05-20,68.24049377441406,293.56488037109375,
2020-05-21,68.49665069580078,300.6292419433594,
2020-05-22,69.35662841796875,298.61346435546875,
2020-05-26,69.75918579101562,297.03741455078125,
2020-05-27,70.1251220703125,314.2537536621094,
2020-05-28,72.03722381591797,314.02471923828125,
2020-05-29,72.97037506103516,308.4302673339844,
2020-06-01,72.95208740234375,304.26202392578125,
2020-06-02,73.57420349121094,300.9403381347656,
2020-06-03,73.5650634765625,309.1294860839844,
2020-06-04,73.78460693359375,308.9270935058594,
2020-06-05,73.6748275756836,314.7791442871094,
2020-06-08,73.98590087890625,320.9349670410156,
2020-06-09,73.1808090209961,315.1748962402344,
2020-06-10,74.7909927368164,313.9970397949219,
2020-06-11,70.57342529296875,295.3550720214844,
2020-06-12,70.7020263671875,292.3094177246094,
2020-06-15,70.64691925048828,288.5736389160156,
2020-06-16,71.61138916015625,298.8055725097656,
2020-06-17,73.0351791381836,296.55120849609375,
